concurso,data,n1,n2,n3,n4,n5
5769,31/05/2023,80884,55181,875,15502,96767
5768,27/05/2023,39766,41793,54048,63652,41689
5767,24/05/2023,94475,4528,30136,7287,57715
5766,20/05/2023,12955,97894,85445,54667,98909
5765,17/05/2023,33770,63511,96610,13902,68410
5764,13/05/2023,15553,46292,62555,36827,19717
5763,10/05/2023,45261,29512,97258,86239,2040
5762,06/05/2023,15030,15777,80841,48964,78678
5761,03/05/2023,28250,89762,36734,65802,81143
5760,29/04/2023,50177,89400,51250,67978,52582
5759,26/04/2023,5587,8096,29632,49250,95594
5758,22/04/2023,78005,59350,30220,67233,82643
5757,19/04/2023,34125,91653,10367,25002,10200
5756,15/04/2023,76074,61870,78643,78992,47434
5755,12/04/2023,5013,83038,38020,62538,94813
5754,08/04/2023,61802,58041,5245,78468,79654
5753,05/04/2023,60929,90495,38431,79821,49164

5752,01/04/2023,26379,28792,99305,83070,69918
5751,29/03/2023,7353,69686,91608,32394,23173
5750,25/03/2023,12134,48412,48295,54299,73726
5749,22/03/2023,80258,78755,91376,54724,91753
5748,18/03/2023,85850,51807,24919,46980,97922
5747,15/03/2023,94456,45145,99918,81365,46850
5746,11/03/2023,59011,82762,86087,37569,27073
5745,08/03/2023,62783,64572,30915,25796,63152
5744,04/03/2023,7118,35942,21105,98477,2767
5743,01/03/2023,26275,30467,99240,49567,36350
5742,25/02/2023,55273,62619,87938,37887,15441
5741,18/02/2023,88869,1357,33144,6020,57399
5740,15/02/2023,12268,80567,23410,21427,57256
5739,11/02/2023,59186,77123,44821,34002,89085
5738,08/02/2023,77081,77846,71907,23267,37231
5737,04/02/2023,50460,50011,99963,4061,73491
5736,01/02/2023,29942,4104,70630,80672,6760
5735,28/01/2023,3847,29081,30196,59353,90223
5734,25/01/2023,54248,79210,88141,76724,61006
5733,21/01/2023,92110,57353,51290,35257,10513
5732,18/01/2023,50366,33514,45504,94365,51105
5731,14/01/2023,87005,84044,13948,54769,81634
5730,11/01/2023,6071,91291,17427,65012,32650
5729,07/01/2023,79018,7046,96871,61701,62289
5728,04/01/2023,59985,59598,12596,63347,86852
5727,31/12/2022,78524,38375,5025,27561,50295
5726,24/12/2022,72654,18306,80593,89718,36951
5725,17/12/2022,58657,61140,51445,50818,30467
5724,14/12/2022,7145,2006,85588,35497,612
5723,10/12/2022,44700,86753,95216,36671,16640
5722,07/12/2022,13468,21677,76209,67722,31703
5721,03/12/2022,53622,62345,29093,67539,2488
5720,30/11/2022,70502,95735,8519,58331,96624
5719,26/11/2022,67647,83012,9959,66647,61289
5718,23/11/2022,62207,45624,9963,9221,82349
5717,19/11/2022,45928,85619,93099,96420,77292
5716,16/11/2022,15838,61865,69590,39867,48816
5715,12/11/2022,79331,70737,61340,30382,42810
5714,09/11/2022,36440,42291,73953,82879,72549
5713,05/11/2022,98239,82768,39442,93524,90368
5712,03/11/2022,65672,56344,3205,72253,59924
5711,29/10/2022,46339,50913,13192,75799,31201
5710,26/10/2022,18620,8972,36608,27868,55696
5709,22/10/2022,85894,34064,52636,73653,47258
5708,19/10/2022,97990,26675,59966,29396,5619
5707,15/10/2022,78386,81267,17723,73695,25590
5706,13/10/2022,40222,76127,18281,92462,8439

5705,08/10/2022,26949,21878,3284,84547,67331
5704,05/10/2022,53070,62127,64542,80002,47098
5703,01/10/2022,420,87133,21293,21801,69104
5702,28/09/2022,65721,43479,71602,37547,62054
5701,24/09/2022,799,95962,74575,78379,52985
5700,21/09/2022,57242,79354,40438,58610,48652
5699,17/09/2022,49645,75411,57474,53147,418
5698,14/09/2022,70188,7243,36896,79535,44335
5697,10/09/2022,77730,1215,87364,10413,46667
5696,08/09/2022,72069,29028,90973,7697,28065
